263: (sum(4) + sum(44 / sqrt(4)))
263: (sum(44 / sqrt(4)) + sum(4))
263: (sum(0.4 * sum(4 / 0.4)) + sum(4))
263: (sum(sqrt(sqrt(4) ^ sum(4)) - sum(4)) + sum(4))
263: ((sum(sqrt(4) * square(4)) - sqrt(4)) / sqrt(4))
263: ((sum(square(4) * sqrt(4)) - sqrt(4)) / sqrt(4))
263: (sum((square(4) + square(4)) - sum(4)) + sum(4))
263: (sum((square(4) - sum(4)) + square(4)) + sum(4))
263: (sum(4) + sum((square(4) + square(4)) - sum(4)))
263: (sum(4) + sum((square(4) - sum(4)) + square(4)))
263: (sum(4) + sum(square(4) + (square(4) - sum(4))))
263: (sum(4) + sum(square(4) - (sum(4) - square(4))))
263: (sum(4) - sum((sum(4) - square(4)) - square(4)))
263: (sum(4) - sum(sum(4) - (square(4) + square(4))))
263: (sum(square(4) + (square(4) - sum(4))) + sum(4))
263: (sum(square(4) - (sum(4) - square(4))) + sum(4))
263: ((sum(square(4) + square(4)) - sqrt(4)) / sqrt(4))
